C:\Users\sina\Desktop\AccessMeasurements\x64\Debug>AccessMeasurements.exe
Press enter to continue...
Sample 639, took 36 cycles
Sample 640, took 35 cycles
Sample 641, took 37 cycles
Sample 642, took 38 cycles
Sample 643, took 67 cycles
Sample 644, took 185 cycles
Sample 645, took 27 cycles
Sample 646, took 126 cycles
Sample 647, took 34 cycles
Sample 648, took 33 cycles
Sample 649, took 33 cycles
Sample 650, took 37 cycles
Sample 651, took 45 cycles
Sample 652, took 34 cycles
Sample 653, took 37 cycles
Sample 654, took 36 cycles
Sample 655, took 17 cycles
Sample 656, took 38 cycles
Sample 657, took 38 cycles
Sample 658, took 42 cycles
Sample 659, took 33 cycles
Sample 660, took 38 cycles
Sample 661, took 40 cycles
Sample 662, took 112 cycles
Sample 663, took 49 cycles
Sample 664, took 37 cycles
Sample 665, took 41 cycles
Sample 666, took 37 cycles
Sample 667, took 20 cycles
Sample 668, took 36 cycles
Sample 669, took 37 cycles
Sample 670, took 43 cycles
Sample 671, took 38 cycles
Sample 672, took 36 cycles
Sample 673, took 35 cycles
Sample 674, took 20 cycles
Sample 675, took 35 cycles
Sample 676, took 43 cycles
Sample 677, took 16 cycles
Sample 678, took 16 cycles
Sample 679, took 14 cycles
Sample 680, took 38 cycles
Sample 681, took 38 cycles
Sample 682, took 38 cycles
Sample 683, took 38 cycles
Sample 684, took 38 cycles
Sample 685, took 38 cycles
Sample 686, took 37 cycles
Sample 687, took 36 cycles
Sample 688, took 38 cycles
Sample 689, took 39 cycles
Sample 690, took 37 cycles
Sample 691, took 39 cycles
Sample 692, took 38 cycles
Sample 693, took 37 cycles
Sample 694, took 37 cycles
Sample 695, took 36 cycles
Sample 696, took 39 cycles
Sample 697, took 39 cycles
Sample 698, took 37 cycles
Sample 699, took 36 cycles
Sample 700, took 37 cycles
Sample 701, took 38 cycles
Sample 702, took 37 cycles
Sample 703, took 37 cycles
Sample 704, took 39 cycles
Sample 705, took 37 cycles
Sample 706, took 39 cycles
Sample 707, took 37 cycles
Sample 708, took 157 cycles
Sample 709, took 41 cycles
Sample 710, took 37 cycles
Sample 711, took 35 cycles
Sample 712, took 39 cycles
Sample 713, took 37 cycles
Sample 714, took 37 cycles
Sample 715, took 37 cycles
Sample 716, took 35 cycles
Sample 717, took 37 cycles
Sample 718, took 34 cycles
Sample 719, took 39 cycles
Sample 720, took 34 cycles
Sample 721, took 38 cycles
Sample 722, took 34 cycles
Sample 723, took 35 cycles
Sample 724, took 39 cycles
Sample 725, took 38 cycles
Sample 726, took 39 cycles
Sample 727, took 36 cycles
Sample 728, took 39 cycles
Sample 729, took 35 cycles
Sample 730, took 37 cycles
Sample 731, took 38 cycles
Sample 732, took 37 cycles
Sample 733, took 36 cycles
Sample 734, took 38 cycles
Sample 735, took 38 cycles
Sample 736, took 36 cycles
Sample 737, took 35 cycles
Sample 738, took 39 cycles
Sample 739, took 37 cycles
Sample 740, took 37 cycles
Sample 741, took 38 cycles
Sample 742, took 37 cycles
Sample 743, took 38 cycles
Sample 744, took 38 cycles
Sample 745, took 39 cycles
Sample 746, took 39 cycles
Sample 747, took 37 cycles
Sample 748, took 37 cycles
Sample 749, took 37 cycles
Sample 750, took 37 cycles
Sample 751, took 38 cycles
Sample 752, took 37 cycles
Sample 753, took 37 cycles
Sample 754, took 38 cycles
Sample 755, took 37 cycles
Sample 756, took 40 cycles
Sample 757, took 37 cycles
Sample 758, took 38 cycles
Sample 759, took 35 cycles
Sample 760, took 31 cycles
Sample 761, took 37 cycles
Sample 762, took 38 cycles
Sample 763, took 38 cycles
Sample 764, took 36 cycles
Sample 765, took 38 cycles
Sample 766, took 38 cycles
Sample 767, took 36 cycles
Sample 768, took 38 cycles
Sample 769, took 39 cycles
Sample 770, took 38 cycles
Sample 771, took 35 cycles
Sample 772, took 38 cycles
Sample 773, took 39 cycles
Sample 774, took 39 cycles
Sample 775, took 36 cycles
Sample 776, took 38 cycles
Sample 777, took 38 cycles
Sample 778, took 39 cycles
Sample 779, took 39 cycles
Sample 780, took 37 cycles
Sample 781, took 40 cycles
Sample 782, took 36 cycles
Sample 783, took 39 cycles
Sample 784, took 36 cycles
Sample 785, took 39 cycles
Sample 786, took 37 cycles
Sample 787, took 38 cycles
Sample 788, took 38 cycles
Sample 789, took 37 cycles
Sample 790, took 37 cycles
Sample 791, took 38 cycles
Sample 792, took 37 cycles
Sample 793, took 37 cycles
Sample 794, took 37 cycles
Sample 795, took 38 cycles
Sample 796, took 37 cycles
Sample 797, took 37 cycles
Sample 798, took 36 cycles
Sample 799, took 40 cycles
Sample 800, took 37 cycles
Sample 801, took 39 cycles
Sample 802, took 37 cycles
Sample 803, took 39 cycles
Sample 804, took 36 cycles
Sample 805, took 36 cycles
Sample 806, took 37 cycles
Sample 807, took 39 cycles
Sample 808, took 37 cycles
Sample 809, took 37 cycles
Sample 810, took 37 cycles
Sample 811, took 37 cycles
Sample 812, took 36 cycles
Sample 813, took 38 cycles
Sample 814, took 39 cycles
Sample 815, took 39 cycles
Sample 816, took 39 cycles
Sample 817, took 41 cycles
Sample 818, took 36 cycles
Sample 819, took 38 cycles
Sample 820, took 37 cycles
Sample 821, took 38 cycles
Sample 822, took 38 cycles
Sample 823, took 38 cycles
Sample 824, took 39 cycles
Sample 825, took 38 cycles
Sample 826, took 37 cycles
Sample 827, took 38 cycles
Sample 828, took 38 cycles
Sample 829, took 38 cycles
Sample 830, took 39 cycles
Sample 831, took 39 cycles
Sample 832, took 36 cycles
Sample 833, took 37 cycles
Sample 834, took 38 cycles
Sample 835, took 39 cycles
Sample 836, took 37 cycles
Sample 837, took 37 cycles
Sample 838, took 35 cycles
Sample 839, took 39 cycles
Sample 840, took 38 cycles
Sample 841, took 37 cycles
Sample 842, took 35 cycles
Sample 843, took 38 cycles
Sample 844, took 38 cycles
Sample 845, took 40 cycles
Sample 846, took 37 cycles
Sample 847, took 37 cycles
Sample 848, took 38 cycles
Sample 849, took 38 cycles
Sample 850, took 37 cycles
Sample 851, took 35 cycles
Sample 852, took 39 cycles
Sample 853, took 40 cycles
Sample 854, took 25 cycles
Sample 855, took 39 cycles
Sample 856, took 37 cycles
Sample 857, took 36 cycles
Sample 858, took 39 cycles
Sample 859, took 38 cycles
